TRACK_RCP,LOT,Total_Minutes,Wafer_Count
Spire/L-7152C19-7600-A,W5199080,1334.4666666666667,25
Spire/L-7152C19-7600-A,W5279950,672.1666666666666,25
Spire/L-7152C19-7600-A,W5289260,661.3833333333333,25
Spire/L-M484-3300-10B,W5319960,1418.0,25
Spire/L-M484-3300-10B,W5335560,1190.4833333333333,25
Spire/L-M484-3300-10B,W5335580,1475.7833333333333,25
Spire/L-M484-3300-10B,W5335590,1156.7666666666667,25
Spire/L-M484-3300-10B,W5348190,1245.85,25
Spire/L-M484-3300-10B,W5362600,1281.7833333333333,25
Spire/L-M484-3300-10B,W5369330,1184.75,25
Spire/L-M484-3300-10B,W5370000,1159.7833333333333,25
Spire/L-M484-3300-10B,W5370020,1282.9666666666667,25
Spire/L-M484-3300-10B,W5372350,605.0333333333333,25
Spire/L-M484-3300-10B,W5376970,1375.45,25
Spire/L-M484-3720-10B,W5289250,618.6333333333333,25
Spire/L-M484-3720-10B,W5289260,3791.3,25
Spire/L-M484-3720-10B,W5295510,620.5166666666667,25
Spire/L-M484-3720-10B,W5295880,627.0166666666667,25
Spire/L-M484-3720-10B,W5319950,638.5833333333334,25
Spire/L-M484-3720-10B,W5319960,3190.0333333333333,25
Spire/L-M484-3720-10B,W5335560,2009.4,25
Spire/L-M484-3720-10B,W5335570,3314.5166666666664,25
Spire/L-M484-3720-10B,W5335580,1866.9666666666667,25
Spire/L-M484-3720-10B,W5335590,1882.1166666666668,25
Spire/L-M484-3720-10B,W5348190,2554.733333333333,25
Spire/L-M484-3720-10B,W5362600,1827.4333333333334,25
Spire/L-M484-3720-10B,W5369330,3190.8166666666666,25
Spire/L-M484-3720-10B,W5370000,1226.2333333333333,25
Spire/L-M484-3720-10B,W5370020,1806.8333333333333,25
Spire/L-M484-TC-4200-10B,W5289250,2190.9,25
Spire/L-M484-TC-4200-10B,W5289260,2197.9333333333334,25
Spire/L-M484-TC-4200-10B,W5295510,2256.133333333333,25
Spire/L-M484-TC-4200-10B,W5295880,2199.35,25
Spire/L-M484-TC-4200-10B,W5319950,2272.133333333333,25
Spire/L-M484-TC-4200-10B,W5319960,2201.6666666666665,25
Spire/L-M484-TC-4200-10B,W5335560,2226.9166666666665,25
Spire/L-M484-TC-4200-10B,W5335570,2196.0833333333335,25
Spire/L-M484-TC-4200-10B,W5335580,2197.733333333333,25
