CHAMBER_TYPE,Count,Mean_Minutes,Median_Minutes,Std_Minutes,Min_Minutes,Max_Minutes,Unique_Chambers,CV_Percent
TEL,672,17.89,17.4,5.55,11.08,41.53,1,31.0
DEV,672,2.49,2.48,0.01,2.47,2.5,8,0.4
CPH,1344,1.13,1.13,0.01,1.12,1.15,16,0.9
ADH,672,0.92,0.92,0.01,0.92,0.93,7,1.1
ITC,672,0.89,0.88,0.01,0.88,0.92,4,1.1
SCP,1344,0.75,0.75,0.0,0.73,0.77,12,0.0
CHK,672,0.45,0.43,0.07,0.4,1.23,2,15.6
