CHAMBER_TYPE,Count,Mean_Minutes,Median_Minutes,Std_Minutes,Min_Minutes,Max_Minutes,Unique_Chambers,CV_Percent
TEL,816,23.69,25.22,3.82,14.05,28.65,1,16.1
ITC,816,1.55,1.55,0.01,1.53,1.57,2,0.6
CPH,1632,1.46,1.47,0.01,1.45,1.48,16,0.7
DEV,816,1.33,1.33,0.01,1.32,1.33,8,0.8
ADH,816,0.92,0.92,0.01,0.92,0.93,7,1.1
SCP,1632,0.75,0.75,0.0,0.73,0.77,6,0.0
CHK,816,0.45,0.43,0.06,0.35,0.87,2,13.3
